stage_ft, flow_cfs	
4.21	,	3129.20	
4.22	,	3143.63	
4.23	,	3158.08	
4.24	,	3172.57	
4.25	,	3187.08	
4.26	,	3201.63	
4.27	,	3216.20	
4.28	,	3230.80	
4.29	,	3245.43	
4.30	,	3260.09	
4.31	,	3274.78	
4.32	,	3289.50	
4.33	,	3304.24	
4.34	,	3319.02	
4.35	,	3333.82	
4.36	,	3348.66	
4.37	,	3363.52	
4.38	,	3378.41	
4.39	,	3393.33	
4.40	,	3408.28	
4.41	,	3423.26	
4.42	,	3438.27	
4.43	,	3453.31	
4.44	,	3468.37	
4.45	,	3483.47	
4.46	,	3498.59	
4.47	,	3513.74	
4.48	,	3528.93	
4.49	,	3544.14	
4.50	,	3559.38	
4.51	,	3574.64	
4.52	,	3589.94	
4.53	,	3605.27	
4.54	,	3620.62	
4.55	,	3636.00	
4.56	,	3651.42	
4.57	,	3666.86	
4.58	,	3682.33	
4.59	,	3697.82	
4.60	,	3713.35	
4.61	,	3728.91	
4.62	,	3744.49	
4.63	,	3760.10	
4.64	,	3775.74	
4.65	,	3791.41	
4.66	,	3805.44	
4.67	,	3819.48	
4.68	,	3833.55	
4.69	,	3847.65	
4.70	,	3861.76	
4.71	,	3875.90	
4.72	,	3890.06	
4.73	,	3904.24	
4.74	,	3918.45	
4.75	,	3932.68	
4.76	,	3946.93	
4.77	,	3961.20	
4.78	,	3975.50	
4.79	,	3989.82	
4.80	,	4004.16	
4.81	,	4018.52	
4.82	,	4032.91	
4.83	,	4047.32	
4.84	,	4061.75	
4.85	,	4076.21	
4.86	,	4090.69	
4.87	,	4105.19	
4.88	,	4119.71	
4.89	,	4134.26	
4.90	,	4148.83	
4.91	,	4163.42	
4.92	,	4178.03	
4.93	,	4192.67	
4.94	,	4207.33	
4.95	,	4222.01	
4.96	,	4236.71	
4.97	,	4251.44	
4.98	,	4266.19	
4.99	,	4280.96	
5.00	,	4295.75	
5.01	,	4310.57	
5.02	,	4325.41	
5.03	,	4340.27	
5.04	,	4355.16	
5.05	,	4370.06	
5.06	,	4384.99	
5.07	,	4399.94	
5.08	,	4414.92	
5.09	,	4429.91	
5.10	,	4444.93	
5.11	,	4459.97	
5.12	,	4475.04	
5.13	,	4490.12	
5.14	,	4505.23	
5.15	,	4520.36	
5.16	,	4535.51	
5.17	,	4550.69	
5.18	,	4565.89	
5.19	,	4581.11	
5.20	,	4596.35	
5.21	,	4611.61	
5.22	,	4626.90	
5.23	,	4642.21	
5.24	,	4657.54	
5.25	,	4672.90	
5.26	,	4688.27	
5.27	,	4703.67	
5.28	,	4719.09	
5.29	,	4734.53	
5.30	,	4750.00
5.31	,	4766.65	
5.32	,	4783.32	
5.33	,	4800.00	
5.34	,	4816.69	
5.35	,	4833.39	
5.36	,	4850.10	
5.37	,	4866.83	
5.38	,	4883.57	
5.39	,	4900.32	
5.40	,	4917.08	
5.41	,	4933.85	
5.42	,	4950.64	
5.43	,	4967.43	
5.44	,	4984.24	
5.45	,	5001.06	
5.46	,	5017.90	
5.47	,	5034.74	
